name,ring,quadrant,isNew,description
"Slite","Uforsk","Tools","TRUE","Dok i på team nivå. Test fra PI24. https://slite.com/"
"SonarQube","Bruk","Tools","TRUE","Verktøy for kvalitetsanalyse av kildekode"
"Charles proxy","Uforsk","Tools","TRUE","Debugging og mocking av API-data for native"
"Conduktor","Bruk","Tools","TRUE","Verktøy for inspisering av Kafka-meldinger"
"Docker Desktop","Bruk","Tools","TRUE","Kafka lokal utvikling"
"Figma","Bruk","Tools","TRUE","UX design og prototyping"
"IntelliJ","Bruk","Languages-and-frameworks","TRUE","Java og Kotlin IDE"
"SQL Developer","Bruk","Languages-and-frameworks","TRUE","Databaseaksess"
"Secure CRT","Bruk","Platform","TRUE","SSH og Telnet-klient"
"Teams","Bruk","Tools","TRUE","Kommunikasjonsplattform"
"Slack","Uforsk","Tools","TRUE","Kommunikasjonsplattform"
"Kafka","Bruk","Platform","TRUE","Event streaming plattform"
"Kafka Connect","Bruk","Platform","TRUE","Event streaming plattform"
"Browser stack","Bruk","Tools","TRUE","Web og mobil testverktøy"
"Miro","Bruk","Tools","TRUE","Kommunikasjon- og samarbeidsverktøy"
"Sketch","Avslutt","Tools","TRUE","UX design og prototyping"
"Abstract","Avslutt","Tools","TRUE","UX design og prototyping"
"Mermaid","Bruk","Tools","TRUE","Språk/verktøry for å beskrive diagrammer"
"Jenkins","Bruk","Platform","TRUE","CI/CD-plattform"
"Sentry","Avslutt","Languages-and-frameworks","TRUE","Rammeverk for feilsøking og overvåking (Omniweb)"
"webpack","Bruk","Tools","TRUE","Pakkeverktøy for JavaScript-applikasjoner"
"Cypress","Bruk","Tools","TRUE","Testverktøy for front end"
"Splunk","Bruk","Tools","TRUE","Verktøy for feilsøking og overvåking"
"AppDynamics","Uforsk","Tools","TRUE","Verktøy for feilsøking og overvåking"
"Kotlin","Bruk","Languages-and-frameworks","TRUE","Programmeringsspråk"
"Java","Bruk","Languages-and-frameworks","TRUE","Programmeringsspråk"
"Spring boot","Bruk","Languages-and-frameworks","TRUE","Rammeverk for REST-API'er"
"Sonarlint","Bruk","Tools","TRUE","IntelliJ plugin for kvalitetsanalyse av kildekode"
"Grafana","Bruk","Tools","TRUE","Verktøy for overvåking. Visualisering av metrikker."
"Prometheus","Bruk","Platform","TRUE","Verktøy for overvåking. Innsamling av metrikker."
"ArgoCD","Bruk","Platform","TRUE","CD-platform for k8s"
"Flyway","Bruk","Tools","TRUE","Automatisk DB-deployment/migrering"
"Ktor","Bruk","Languages-and-frameworks","TRUE","Rammeverk for asynkrone løsninger i Kotlin"
"Apache Maven","Bruk","Tools","TRUE","Verktøy for automatiserte bygg"
"logback","Bruk","Platform","TRUE","Rammeverk for serialisering av darta basert på JSON-spec"
"log4j","Bruk","Tools","TRUE","Verktøy for logging"
"Bender","Bruk","Platform","TRUE","Konfigurasjonsrepository"
"mg","Bruk","Tools","TRUE","Egenutviklet kommandolinjeverktøy bruker metaGraf-spec for å lage nødvendige “byggeklosser” i Kubernetes eller OpenShift"
"Middle Earth","Bruk","Tools","TRUE","Egenutviklet verktøy for deployment i alle miljøer"
"Websphere Liberty Profile","Begrens","Platform","TRUE","IBM appserver"
"Lombok","Begrens","Techniques","TRUE","Java-bibliotek for redusering av boilerplate-kode"
"Kanban","Bruk","Techniques","TRUE",
"SAFe","Bruk","Techniques","TRUE",
"Scrum","Bruk","Techniques","TRUE",
"OpenID Connect/Keycloak/OAuth2","Bruk","Platform","TRUE","Autentiserings- og autorisasjonsverktøy"
"Vault","Bruk","Platform","TRUE","System for håndering av hemmeligheter"
"QlikView","Bruk","Platform","TRUE","ETL og Business analyse"
"Power BI","Uforsk","Tools","TRUE","ETL og Business analyse"
"Business Objects","Bruk","Platform","TRUE","ETL og Business analyse"
"Gatling","Bruk","Tools","TRUE","Verktøy for ytelsestest"
"Postman","Bruk","Tools","TRUE","Verktøy for utvikling og automatiserte tester av API-er"
"Fitnesse","Begrens","Tools","TRUE","Verktøy for automatiserte tester"
"Google Analytics","Bruk","Platform","TRUE","Verktøy for webanalyse"
"Hotjar","Bruk","Tools","TRUE","Verktøy for analyse av brukerinteraksjon på web"
"QlikSense","Bruk","Platform","TRUE","ETL og Business analyse"
"VSCode","Bruk","Languages-and-frameworks","TRUE","IDE"
"Git","Bruk","Tools","TRUE","Versjonskontrollsystem"
"Bitbucket","Bruk","Tools","TRUE","Git repository hosting system"
"bash/zsh/fish","Bruk","Tools","TRUE","Unix shell"
"powershell","Bruk","Tools","TRUE","Windows shell"
"Open API specificaton","Bruk","Techniques","TRUE","Spec for dok av REST-tjenester"
"axe","Bruk","Tools","TRUE","Validering av UU for web"
"graphql","Begrens","Languages-and-frameworks","TRUE","Query languange for API"
"Enonic XP","Bruk","Platform","TRUE","CMS"
"Websocket","Bruk","Platform","TRUE","Kommunkasjonsprotokoll web browser <-> server"
"Openshift","Bruk","Platform","TRUE","k8s container plattform"
"winscp","Bruk","Languages-and-frameworks","TRUE","SSH file transfer protocol"
"Yammer","Bruk","Tools","TRUE",
"Draw.io","Bruk","Tools","TRUE","Språk/verktøry for å beskrive diagrammer"
"Nt Boot","Bruk","Languages-and-frameworks","TRUE","NT overbygg til Spring boot"
"NT Ktor","Bruk","Languages-and-frameworks","TRUE","NT overbygg til Ktor"
"Web sequence diagram","Bruk","Tools","TRUE","Språk/verktøry for å beskrive diagrammer"
